post_id,note_category,share_mean,share_std,share_median,share_responses,share_rating_1,share_rating_2,share_rating_3,share_rating_4,share_rating_5,comment_mean,comment_std,comment_median,comment_responses,comment_rating_1,comment_rating_2,comment_rating_3,comment_rating_4,comment_rating_5,like_mean,like_std,like_median,like_responses,like_rating_1,like_rating_2,like_rating_3,like_rating_4,like_rating_5
1,Community Note,3.4680851063829787,1.3968210691208383,4.0,47,4,10,9,10,12,3.404255319148936,1.5110877365586983,3.0,47,6,8,11,10,7,3.4468085106382977,1.4558540761324257,4.0,47,7,7,4,19,7
1,LLM Note,3.0851063829787235,1.3656856626281881,3.0,47,6,12,10,13,3,3.021276595744681,1.360371690480492,3.0,47,9,7,13,11,6,3.4468085106382977,1.4558540761324257,4.0,47,7,6,7,16,8
2,Community Note,3.2115384615384617,1.2910421917305424,3.0,52,5,13,11,12,11,3.3846153846153846,1.4564689406739606,3.0,52,5,11,13,10,8,3.230769230769231,1.4886155754125867,3.0,52,8,12,7,12,11
2,LLM Note,3.269230769230769,1.3883496652138496,3.5,52,4,17,5,16,7,3.4615384615384617,1.4736341585129245,3.5,52,4,14,8,10,12,3.3461538461538463,1.5918616989672982,3.0,52,7,12,11,5,12
3,Community Note,3.92,1.44,4.0,50,4,5,7,17,9,3.88,1.3362634470792052,4.0,50,3,4,12,14,11,4.28,1.3862178760930766,4.0,50,3,4,3,16,14
3,LLM Note,3.42,1.4154857823376397,3.5,50,4,13,8,10,13,3.44,1.416474496770062,3.5,50,5,9,11,13,8,3.78,1.4323407415835103,4.0,50,4,6,10,13,11
7,Community Note,3.6037735849056602,1.4187374488382989,4.0,53,7,5,8,18,12,3.7169811320754715,1.3650262073725223,4.0,53,5,5,11,14,15,3.660377358490566,1.577475846496489,4.0,53,6,9,7,14,9
7,LLM Note,3.2641509433962264,1.4685500922483055,3.0,53,9,8,10,15,8,3.3773584905660377,1.390349692599286,4.0,53,6,10,9,17,8,3.5660377358490565,1.5960970552872906,4.0,53,8,7,10,8,15
12,Community Note,3.547169811320755,1.2524095679453653,4.0,53,3,9,11,19,8,3.4339622641509435,1.2813529695358226,4.0,53,5,8,11,19,8,3.358490566037736,1.480621231457619,3.0,53,4,16,8,13,6
12,LLM Note,3.792452830188679,1.264291740962336,4.0,53,2,9,7,18,14,3.69811320754717,1.3816165765300232,4.0,53,6,5,7,19,13,3.811320754716981,1.5907350119515462,4.0,53,4,12,5,9,15
16,Community Note,3.311111111111111,1.3633654800158193,3.0,45,2,16,5,13,6,3.466666666666667,1.32664991614216,4.0,45,3,9,10,13,7,3.4444444444444446,1.5854274650432858,3.0,45,7,7,9,7,11
16,LLM Note,3.8222222222222224,1.370950828016638,4.0,45,2,9,5,11,15,3.8,1.2754084313139327,4.0,45,3,5,6,18,10,3.911111111111111,1.6305721180305903,4.0,45,5,6,6,7,13
19,Community Note,3.3529411764705883,1.3694643208026842,4.0,51,5,11,9,16,7,3.235294117647059,1.307418280640757,3.0,51,7,7,13,17,5,3.4901960784313726,1.5258883496740172,4.0,51,7,7,11,11,10
19,LLM Note,3.5098039215686274,1.4868383223630492,4.0,51,5,10,10,11,10,3.4705882352941178,1.391189943142491,3.0,51,5,7,15,11,9,3.6862745098039214,1.4347261278373895,4.0,51,5,5,12,14,9
21,Community Note,3.4693877551020407,1.604865571537755,3.0,49,6,11,9,5,13,3.5306122448979593,1.4156853221244592,4.0,49,4,12,4,14,13,3.510204081632653,1.6917862674336903,4.0,49,9,7,7,8,12
21,LLM Note,3.142857142857143,1.2777531299998797,3.0,49,5,13,10,12,9,3.306122448979592,1.4597187544691974,4.0,49,6,13,4,14,10,3.204081632653061,1.5515573721427112,4.0,49,10,9,5,13,10
23,Community Note,3.4444444444444446,1.3090379088909456,3.0,45,4,6,14,10,9,3.466666666666667,1.39204086785474,3.0,45,4,7,14,7,10,3.466666666666667,1.43913554299486,3.0,45,5,6,13,9,8
23,LLM Note,3.6666666666666665,1.2292725943057181,4.0,45,3,6,8,14,14,3.533333333333333,1.1850925889754118,4.0,45,3,7,7,20,7,3.577777777777778,1.357921432662417,4.0,45,4,7,7,16,8
24,Community Note,3.4,1.4696938456699067,4.0,50,5,14,2,18,7,3.32,1.5157836257197133,3.5,50,8,9,8,12,10,3.66,1.5825296205758677,4.0,50,6,8,7,12,10
24,LLM Note,3.08,1.5854336946085132,3.0,50,9,14,7,8,8,3.04,1.45547243189282,3.0,50,9,13,5,15,6,3.14,1.4967965793654125,3.0,50,8,12,9,10,8
28,Community Note,2.9423076923076925,1.0636197545403716,3.0,52,5,12,19,14,1,3.1923076923076925,1.1608760209835824,3.0,52,3,12,18,11,7,3.3076923076923075,1.294046449327748,4.0,52,5,11,9,19,6
28,LLM Note,3.7884615384615383,1.1983408154857997,4.0,52,3,5,9,20,13,3.9423076923076925,1.3504053741585202,4.0,52,3,4,13,11,15,4.019230769230769,1.4476822937608371,4.0,52,3,7,7,12,15
29,Community Note,3.5714285714285716,1.1952286093343938,4.0,49,3,7,10,18,10,3.7755102040816326,1.1997500780978831,4.0,49,2,7,7,19,12,3.877551020408163,1.3943421104113243,4.0,49,3,6,9,13,12
29,LLM Note,3.4285714285714284,1.2936264483053452,4.0,49,3,11,9,17,6,3.4489795918367347,1.2132133834858652,3.0,49,3,7,16,13,8,3.5306122448979593,1.2952352369487699,4.0,49,3,9,11,13,11
30,Community Note,3.425925925925926,1.4732409706073188,4.0,54,7,10,8,14,12,3.5,1.2874033584729407,4.0,54,5,8,9,21,9,3.6666666666666665,1.6666666666666667,4.0,54,9,5,9,12,10
30,LLM Note,3.3703703703703702,1.3374422285383545,4.0,54,5,13,6,18,11,3.3333333333333335,1.3471506281091268,3.0,54,7,7,14,15,9,3.5185185185185186,1.462376816474047,4.0,54,5,11,10,11,13
31,Community Note,3.3181818181818183,1.504126555252209,3.0,44,6,9,8,11,6,3.4318181818181817,1.4045013232254886,4.0,44,6,7,4,18,7,3.522727272727273,1.5737713297512785,4.0,44,7,6,5,14,7
31,LLM Note,3.090909090909091,1.5494600499144828,3.0,44,6,14,9,4,7,3.2045454545454546,1.4706143653487977,3.0,44,6,11,8,8,9,3.409090909090909,1.6281358807793014,3.0,44,7,6,12,7,5
32,Community Note,3.16,1.3169662106523463,3.0,50,8,7,11,19,3,3.4,1.1661903789690602,3.5,50,2,11,12,16,8,3.54,1.2523577763562614,4.0,50,4,6,11,20,6
32,LLM Note,3.26,1.2297967311714568,3.0,50,5,9,12,17,6,3.3,1.3892443989449805,3.0,50,4,14,8,15,5,3.58,1.4844527611210807,4.0,50,6,7,9,12,12
34,Community Note,3.127659574468085,1.346658927527375,3.0,47,7,10,9,12,9,3.297872340425532,1.4427351921842286,4.0,47,8,6,8,17,5,3.3617021276595747,1.5077887418320488,4.0,47,7,8,8,13,7
34,LLM Note,3.297872340425532,1.4574079820888262,4.0,47,8,8,5,15,10,3.4893617021276597,1.5961701560434938,4.0,47,8,7,4,15,8,3.5319148936170213,1.5277721762567011,4.0,47,7,7,5,13,12
35,Community Note,3.32,1.4062716664997557,3.0,50,5,11,11,13,6,3.22,1.4871449156017043,3.0,50,8,10,9,12,8,3.56,1.512084653714864,4.0,50,6,7,10,13,8
35,LLM Note,3.28,1.4837789592793127,3.0,50,9,7,11,7,16,3.42,1.6011246047700347,4.0,50,7,11,6,12,8,3.5,1.6155494421403511,3.0,50,7,8,11,8,9
36,Community Note,3.127659574468085,1.2819038579908142,3.0,47,6,9,13,12,6,3.5319148936170213,1.3815049430423765,4.0,47,3,10,8,16,5,3.297872340425532,1.3977929962261142,4.0,47,6,10,7,13,10
36,LLM Note,3.425531914893617,1.469472055304852,3.0,47,4,13,7,7,14,3.5319148936170213,1.318462415730184,4.0,47,3,10,7,15,10,3.4893617021276597,1.6486272874732353,4.0,47,7,10,4,11,9
46,Community Note,3.26,1.1101351269102333,3.0,50,3,10,15,15,7,3.44,1.3139254164525473,3.0,50,3,9,16,11,7,3.42,1.3577923257994944,3.0,50,4,10,12,12,9
46,LLM Note,3.66,1.2745195173083856,4.0,50,3,8,9,14,15,3.86,1.280781011726829,4.0,50,3,6,5,21,11,3.96,1.5994999218505763,4.0,50,4,9,5,8,15
49,Community Note,2.8043478260869565,1.423705593915908,3.0,46,11,8,15,5,5,2.9782608695652173,1.3750751826842147,3.0,46,8,11,9,11,6,2.9130434782608696,1.529792355283407,3.0,46,11,11,5,11,6
49,LLM Note,3.5,1.5,4.0,46,6,8,7,9,14,3.5652173913043477,1.5969015367136485,4.0,46,7,7,6,9,13,3.8043478260869565,1.7768996597321256,4.0,46,8,6,2,11,9
50,Community Note,3.0784313725490198,1.4258556049174778,3.0,51,8,13,7,16,4,3.196078431372549,1.386483884679505,3.0,51,9,5,15,13,7,3.3137254901960786,1.5779136893122125,4.0,51,11,5,9,12,11
50,LLM Note,3.5098039215686274,1.4467346467213111,4.0,51,6,7,10,16,7,3.4901960784313726,1.2737554328558207,4.0,51,4,10,7,17,13,3.607843137254902,1.4961182632890424,4.0,51,6,8,7,13,13
52,Community Note,3.2244897959183674,1.4323565016625786,3.0,49,7,10,9,14,6,3.2653061224489797,1.366889963235947,3.0,49,6,10,9,15,7,3.163265306122449,1.4893765135117503,3.0,49,9,10,7,11,11
52,LLM Note,3.693877551020408,1.4026808389746597,4.0,49,4,8,7,13,14,3.7551020408163267,1.2042545707699535,4.0,49,2,8,6,18,14,3.510204081632653,1.7038066501830045,4.0,49,10,7,5,5,19
57,Community Note,2.9583333333333335,1.0197698542100349,3.0,48,1,19,13,11,4,3.1875,1.3015415539531063,3.0,48,4,12,13,12,4,3.2916666666666665,1.4135996211406143,3.0,48,5,10,12,13,3
57,LLM Note,3.75,1.4930394055974097,4.0,48,3,11,5,10,14,4.125,1.378782675647858,4.0,48,2,6,5,14,13,4.104166666666667,1.544338900270562,4.0,48,3,6,8,8,12
59,Community Note,3.327272727272727,1.3625450178323777,3.0,55,6,11,11,15,10,3.5636363636363635,1.3178996563214633,4.0,55,3,10,14,12,13,3.3454545454545452,1.5517518758801359,4.0,55,9,11,7,10,16
59,LLM Note,3.327272727272727,1.335590376160506,4.0,55,6,12,6,22,7,3.6545454545454548,1.3647268367123786,4.0,55,2,13,9,13,14,3.6545454545454548,1.5517518758801359,4.0,55,5,11,8,13,10
60,Community Note,3.2291666666666665,1.3422553056537179,3.5,48,6,11,7,14,10,3.2708333333333335,1.4250670062218906,3.0,48,6,10,9,15,4,3.6458333333333335,1.5743991358257565,4.0,48,6,6,10,10,9
60,LLM Note,3.7291666666666665,1.65503755412243,4.0,48,7,7,4,11,12,3.7291666666666665,1.667577875909315,4.0,48,7,7,5,9,13,3.9375,1.71277370075559,4.0,48,6,7,4,9,11
62,Community Note,3.4565217391304346,1.2803960280545412,4.0,46,4,7,10,16,7,3.5652173913043477,1.3457206556993184,4.0,46,3,9,8,14,9,3.4565217391304346,1.3941885865064314,3.0,46,2,13,9,10,8
62,LLM Note,3.739130434782609,1.1875217638041444,4.0,46,1,9,6,16,13,3.9782608695652173,1.2245519222180574,4.0,46,1,6,7,15,13,4.0,1.4446302370292303,4.0,46,3,7,3,13,14
65,Community Note,3.12,1.2592060990957756,3.0,50,6,11,11,16,5,3.12,1.1939849245279441,3.0,50,7,8,11,20,4,3.44,1.283121194587635,4.0,50,4,9,10,17,8
65,LLM Note,3.6,1.3856406460551018,4.0,50,3,11,8,12,13,3.62,1.5477725931156683,4.0,50,5,9,9,11,9,3.96,1.482700239428051,4.0,50,2,11,4,10,16
68,Community Note,3.2857142857142856,1.2936264483053452,3.0,49,4,11,13,10,10,3.326530612244898,1.361088326574128,3.0,49,6,7,13,14,6,3.4693877551020407,1.3416718297056,4.0,49,3,11,9,16,6
68,LLM Note,3.673469387755102,1.2679366993476788,4.0,49,1,11,8,15,11,3.877551020408163,1.271872363337378,4.0,49,1,7,12,10,15,3.857142857142857,1.4427864197660112,4.0,49,2,10,6,13,11
69,Community Note,2.9591836734693877,1.1945314797275017,3.0,49,6,12,14,13,3,3.163265306122449,1.131135221269471,3.0,49,5,7,17,16,3,3.2448979591836733,1.3781177972354393,4.0,49,8,7,9,16,8
69,LLM Note,3.6530612244897958,1.2705618298998678,4.0,49,4,6,7,20,10,3.7551020408163267,1.363228644258346,4.0,49,4,7,5,17,13,3.9591836734693877,1.564389216060147,4.0,49,7,3,4,12,17
70,Community Note,3.1702127659574466,1.3732884734557385,3.0,47,7,10,7,15,7,3.425531914893617,1.540166899647137,4.0,47,9,4,9,10,13,3.404255319148936,1.4969411999436475,4.0,47,7,8,5,17,6
70,LLM Note,3.148936170212766,1.4436762088244575,3.0,47,9,7,9,14,6,3.3617021276595747,1.3277004903678888,4.0,47,7,5,8,19,7,3.404255319148936,1.5933315086680047,3.0,47,6,12,6,7,12
72,Community Note,3.547169811320755,1.3112868191618154,4.0,53,3,9,14,14,9,3.3773584905660377,1.390349692599286,3.0,53,5,11,14,6,16,3.547169811320755,1.5365489110567798,4.0,53,5,13,6,11,13
72,LLM Note,3.943396226415094,1.3792956137733634,4.0,53,2,8,8,16,11,3.811320754716981,1.3325617798497795,4.0,53,3,6,11,17,10,3.981132075471698,1.324522926398811,4.0,53,2,8,5,18,14
74,Community Note,3.425925925925926,1.4857577172988305,4.0,54,7,10,9,12,13,3.4814814814814814,1.4108145892400674,4.0,54,6,9,9,16,11,3.6296296296296298,1.5904378187839916,4.0,54,7,8,11,5,18
74,LLM Note,3.0,1.2619796324000607,3.0,54,7,14,12,15,5,3.1481481481481484,1.3527394346481239,3.0,54,6,14,12,12,8,3.259259259259259,1.321968022042574,3.0,54,4,14,14,10,10
75,Community Note,2.883720930232558,1.4011507285015878,3.0,43,10,7,11,9,5,2.9767441860465116,1.405775000903015,3.0,43,9,7,10,12,3,3.0697674418604652,1.3875752455977952,3.0,43,6,11,10,7,8
75,LLM Note,3.7674418604651163,1.3949611864622162,4.0,43,4,4,8,13,10,4.023255813953488,1.2847653318077332,4.0,43,3,3,6,11,18,4.232558139534884,1.4601243862643964,5.0,43,4,2,4,11,14
76,Community Note,3.061224489795918,1.544022883214509,3.0,49,11,8,9,13,4,3.122448979591837,1.4089024974769964,3.0,49,8,11,7,14,8,3.0,1.616244071283537,3.0,49,12,10,7,10,6
76,LLM Note,4.081632653061225,1.209431215512576,4.0,49,2,4,6,17,16,4.183673469387755,1.4094936040679191,4.0,49,3,3,8,13,12,4.061224489795919,1.621389719676833,4.0,49,5,5,6,11,10
77,Community Note,2.9272727272727272,1.2771352239153413,3.0,55,8,14,15,11,6,2.909090909090909,1.2688251870813019,3.0,55,7,17,13,11,6,3.2545454545454544,1.504154027632468,3.0,55,8,12,9,15,6
77,LLM Note,3.5636363636363635,1.3586575776195928,4.0,55,4,10,10,17,10,3.7454545454545456,1.2680433290300142,4.0,55,3,8,10,14,19,3.890909090909091,1.614398027667136,4.0,55,5,9,7,11,12
79,Community Note,3.5535714285714284,1.4870829890515627,4.0,56,6,11,8,11,17,3.6785714285714284,1.5365446260213538,4.0,56,5,12,5,15,12,3.607142857142857,1.6548475483147276,4.0,56,8,10,6,12,12
79,LLM Note,3.4464285714285716,1.400505557406514,4.0,56,6,10,9,19,8,3.5892857142857144,1.4113922421582492,4.0,56,5,11,4,23,8,3.625,1.4706958994202126,4.0,56,5,12,4,18,12
81,Community Note,3.392156862745098,1.1894706578904393,3.0,51,3,9,15,14,9,3.4313725490196076,1.3612984280556693,3.0,51,4,10,13,11,10,3.5098039215686274,1.3773026924577212,4.0,51,3,11,11,14,7
81,LLM Note,3.7450980392156863,1.4258556049174778,4.0,51,6,4,9,13,16,3.764705882352941,1.4360653665569063,4.0,51,4,7,9,14,11,3.843137254901961,1.460224922502813,4.0,51,5,5,8,14,13
82,Community Note,3.280701754385965,1.4479796689097086,3.0,57,6,13,14,13,5,3.3684210526315788,1.3845206776806216,3.0,57,5,13,12,13,11,3.3684210526315788,1.434311118313663,3.0,57,5,15,9,14,10
82,LLM Note,3.6491228070175437,1.4807682698953821,4.0,57,6,10,6,15,16,3.7719298245614037,1.2980085131995729,4.0,57,4,6,12,14,19,3.9649122807017543,1.577972408545183,4.0,57,4,10,6,13,12
83,Community Note,3.183673469387755,1.350335852218226,3.0,49,5,15,5,15,8,3.7142857142857144,1.3552618543578767,4.0,49,3,8,8,15,11,3.5714285714285716,1.4427864197660112,4.0,49,6,6,9,13,12
83,LLM Note,3.510204081632653,1.3112145636088988,4.0,49,4,8,10,15,10,3.816326530612245,1.5736798080536327,4.0,49,5,8,3,17,7,3.877551020408163,1.5601236615197054,4.0,49,4,8,6,12,10
85,Community Note,3.0454545454545454,1.2604931476238226,3.0,44,4,15,6,14,4,3.0,1.296849328880646,3.0,44,6,12,8,13,4,3.4545454545454546,1.3560394445614814,4.0,44,4,8,9,12,9
85,LLM Note,3.4545454545454546,1.3726971700492272,3.5,44,4,8,10,10,10,3.522727272727273,1.453657399358853,4.0,44,5,7,8,11,10,3.7954545454545454,1.6999939231782493,4.0,44,5,8,6,6,10
86,Community Note,3.3333333333333335,1.3608276348795434,3.0,54,6,9,15,11,11,3.2962962962962963,1.3141625925340867,4.0,54,7,9,9,20,8,3.611111111111111,1.5082079956109142,4.0,54,6,8,10,13,11
86,LLM Note,3.0925925925925926,1.4940439593725892,4.0,54,12,10,3,21,6,3.3518518518518516,1.429288963441294,4.0,54,7,11,6,19,8,3.3518518518518516,1.62340984769949,4.0,54,12,5,9,12,12
91,Community Note,3.196078431372549,1.3138718092353692,3.0,51,5,12,13,12,7,3.450980392156863,1.4046662500841032,4.0,51,7,7,8,15,13,3.2745098039215685,1.4696729177602754,3.0,51,9,7,10,13,10
91,LLM Note,3.196078431372549,1.2683107159840181,3.0,51,4,15,8,16,7,3.372549019607843,1.4945756078556474,4.0,51,7,11,5,15,10,3.235294117647059,1.6400410718687441,3.0,51,11,9,6,11,10
92,Community Note,3.4,1.3698042328608993,3.0,55,4,12,14,12,9,3.6545454545454548,1.42978932737,4.0,55,4,8,14,13,9,3.672727272727273,1.4149146515159068,4.0,55,5,8,8,18,11
92,LLM Note,3.6545454545454548,1.1788774601779877,4.0,55,4,5,11,22,12,3.8,1.1184404726712507,4.0,55,1,7,11,22,11,3.7818181818181817,1.3306308700750538,4.0,55,3,8,9,18,12
93,Community Note,3.0217391304347827,1.4063386077944233,3.0,46,8,10,10,11,5,3.108695652173913,1.2550465238140052,3.0,46,5,11,11,13,5,3.3043478260869565,1.2831612663803225,3.0,46,4,10,10,13,8
93,LLM Note,3.5217391304347827,1.5567403295624485,4.0,46,6,9,6,8,14,3.608695652173913,1.6215701042583928,4.0,46,6,7,9,8,9,3.8260869565217392,1.6590246981164272,4.0,46,5,8,5,9,10
94,Community Note,2.6346153846153846,1.4009453697393353,2.0,52,13,14,13,5,5,2.730769230769231,1.3883496652138496,3.0,52,13,12,10,11,5,3.0961538461538463,1.572108033386718,3.0,52,11,11,7,11,9
94,LLM Note,3.480769230769231,1.4998767207723416,4.0,52,6,11,7,11,14,3.6923076923076925,1.587674418503869,4.0,52,6,7,10,12,8,3.730769230769231,1.5580483923483919,4.0,52,6,8,6,12,14
98,Community Note,3.4782608695652173,1.330889379566432,4.0,46,4,8,9,14,9,3.4347826086956523,1.3457206556993184,4.0,46,4,9,9,13,9,3.5217391304347827,1.4406992631113817,4.0,46,4,10,7,11,11
98,LLM Note,4.0,1.3831281496162493,4.0,46,4,4,4,14,16,4.195652173913044,1.2789187895724112,4.0,46,2,4,4,15,15,4.1521739130434785,1.5317990460828534,4.0,46,3,7,2,12,12
99,Community Note,3.75,1.39883193030141,4.0,52,4,7,9,15,12,3.769230769230769,1.4089737756934002,4.0,52,5,4,12,13,13,3.826923076923077,1.5155749587603053,4.0,52,4,7,12,8,13
99,LLM Note,3.5961538461538463,1.390346046916923,4.0,52,6,6,8,18,11,3.8076923076923075,1.387283753605495,4.0,52,4,6,9,15,13,3.9615384615384617,1.4670947017508194,4.0,52,4,6,7,14,13
101,Community Note,3.5217391304347827,1.2978097005738523,4.0,46,3,8,11,12,10,3.630434782608696,1.2222341562496173,4.0,46,2,5,14,17,3,3.760869565217391,1.5348811398351176,4.0,46,5,6,6,14,8
101,LLM Note,3.4782608695652173,1.246545320594039,4.0,46,3,9,8,16,9,3.5869565217391304,1.3764492276762375,4.0,46,4,7,10,10,13,3.630434782608696,1.5231360048350746,4.0,46,3,12,4,14,6
102,Community Note,3.2549019607843137,1.2499903882752337,3.0,51,6,7,15,15,7,3.372549019607843,1.4274725273099056,3.0,51,6,9,12,11,10,3.392156862745098,1.509167169011283,4.0,51,7,10,8,11,12
102,LLM Note,3.764705882352941,1.476458870354251,4.0,51,5,7,6,16,11,3.843137254901961,1.5513757211649006,4.0,51,7,4,6,13,15,3.980392156862745,1.6268602755052188,4.0,51,6,7,2,12,15
106,Community Note,3.2452830188679247,1.4262453727520192,4.0,53,7,13,5,19,6,3.509433962264151,1.3684124048655655,4.0,53,4,11,9,15,11,3.4150943396226414,1.6069890075371762,4.0,53,8,11,6,13,9
106,LLM Note,3.4150943396226414,1.4199915262057947,4.0,53,6,11,8,12,15,3.3962264150943398,1.508962190425072,4.0,53,9,7,6,21,5,3.5849056603773586,1.5471698113207548,4.0,53,5,11,10,8,13
107,Community Note,3.2244897959183674,1.3889550634427392,3.0,49,6,10,12,12,6,3.3469387755102042,1.3022902966158219,3.0,49,4,10,11,16,5,3.5510204081632653,1.4577201166064138,4.0,49,4,10,8,15,6
107,LLM Note,3.3877551020408165,1.2907255755789304,4.0,49,4,10,9,17,7,3.4693877551020407,1.4860170133385737,4.0,49,7,7,7,16,8,3.6530612244897958,1.4364215799810427,4.0,49,5,7,9,9,17
109,Community Note,3.5961538461538463,1.3482127112562394,4.0,52,4,8,10,17,9,3.9038461538461537,1.213063752916166,4.0,52,2,5,10,18,13,3.5576923076923075,1.610225277340715,4.0,52,6,11,7,12,8
109,LLM Note,3.9615384615384617,1.2397508816373999,4.0,52,1,8,7,16,16,4.134615384615385,1.2251977258612674,4.0,52,1,5,8,17,14,4.019230769230769,1.2632434538396147,4.0,52,1,8,7,13,19
110,Community Note,3.1372549019607843,1.313871809235369,3.0,51,4,17,8,14,6,3.2549019607843137,1.369745035025332,3.0,51,6,11,10,14,8,3.2549019607843137,1.4798401775775065,3.0,51,5,15,10,8,9
110,LLM Note,3.588235294117647,1.4027489900015624,4.0,51,4,10,7,16,10,3.7058823529411766,1.3029998216342078,4.0,51,3,7,9,20,7,3.6862745098039214,1.4618038289894746,4.0,51,4,10,7,11,15
111,Community Note,3.25531914893617,1.2959525389651967,3.0,47,5,9,11,15,5,3.4468085106382977,1.4113296980235746,4.0,47,5,8,9,15,6,3.4893617021276597,1.4999622750650694,4.0,47,6,8,7,13,9
111,LLM Note,3.4893617021276597,1.334841458838989,4.0,47,6,6,5,20,9,3.6808510638297873,1.4158131710309894,4.0,47,3,10,6,11,14,3.765957446808511,1.476233936910779,4.0,47,4,5,12,10,9
112,Community Note,3.480769230769231,1.5126439488446484,4.0,52,9,4,11,12,13,3.4423076923076925,1.5243341741744865,4.0,52,8,7,10,12,11,3.4423076923076925,1.6688718153575115,4.0,52,10,6,9,13,6
112,LLM Note,3.5384615384615383,1.3223164182823912,4.0,52,4,9,9,18,9,3.673076923076923,1.4104166575622235,4.0,52,5,6,10,16,10,3.75,1.39883193030141,4.0,52,6,3,11,13,16
114,Community Note,2.5925925925925926,1.269565666740934,2.0,54,12,18,9,10,5,2.574074074074074,1.1482974813279625,2.0,54,10,20,9,13,2,2.8703703703703702,1.440759782793328,3.0,54,12,14,7,11,10
114,LLM Note,3.740740740740741,1.6237266827246644,4.0,54,9,5,4,16,13,3.7037037037037037,1.5826563421645554,4.0,54,7,9,4,12,17,3.7962962962962963,1.6708794494010415,4.0,54,7,9,5,8,17
122,Community Note,3.510204081632653,1.2474046359131532,4.0,49,2,11,8,19,6,3.7142857142857144,1.324802642213672,4.0,49,3,6,12,13,11,3.877551020408163,1.423313940747975,4.0,49,3,9,2,18,11
122,LLM Note,3.8979591836734695,1.4177432190170127,4.0,49,4,6,4,18,11,3.979591836734694,1.435551460821957,4.0,49,3,8,2,17,12,4.040816326530612,1.384449845399725,4.0,49,3,5,5,18,10
123,Community Note,3.358490566037736,1.4418847678900226,3.0,53,5,12,13,9,10,3.6792452830188678,1.5390953592100463,4.0,53,4,11,9,11,10,3.5849056603773586,1.5593172461429725,3.0,53,4,12,12,7,10
123,LLM Note,3.490566037735849,1.3684124048655655,4.0,53,5,10,8,16,12,3.6226415094339623,1.520010117820591,4.0,53,5,11,5,17,8,3.5660377358490565,1.4473063328879328,4.0,53,4,12,9,9,16
124,Community Note,3.1481481481481484,1.3110274089205822,3.0,54,7,10,15,14,6,3.259259259259259,1.3768615033660079,3.0,54,7,9,15,11,10,3.3333333333333335,1.5869840952317447,4.0,54,10,9,7,13,11
124,LLM Note,3.7777777777777777,1.435871998146676,4.0,54,3,11,6,15,13,3.8518518518518516,1.5080943015927653,4.0,54,6,5,7,17,11,3.925925925925926,1.5617161957265195,4.0,54,5,8,5,13,14
142,Community Note,3.152173913043478,1.3346126502757243,3.0,46,5,13,7,13,7,3.0434782608695654,1.2675982380098478,3.0,46,5,15,5,15,6,3.3260869565217392,1.5187859543224842,3.5,46,6,11,6,12,7
142,LLM Note,3.5,1.4707288935289433,4.0,46,5,8,9,11,9,3.3043478260869565,1.516138762970669,3.0,46,7,8,10,10,7,3.5434782608695654,1.5280923278947802,4.0,46,5,10,5,11,11
